"","airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"52","AA",81,"STL","ORD",2024-08-01,07:25:00,"US",439,"00:10:00",2024-08-01 11:14:00,NA,"00:14:00",2024-08-01 11:18:00,2024-08-01 11:38:00,"00:30:00",2024-08-01 12:55:00,NA,"00:32:00",2024-08-01 12:57:00,2024-08-01 12:41:00,"3","H16",0,"None","258.14"
"53","AA",115,"YYZ","ORD",2024-08-01,07:25:00,"CA",3524,"00:00:00",2024-08-01 10:30:00,NA,"-00:08:00",2024-08-01 10:22:00,2024-08-01 10:51:00,"-00:13:00",2024-08-01 12:12:00,NA,"-00:11:00",2024-08-01 12:14:00,2024-08-01 12:00:00,"3","L23",0,"None","435.18"
"54","AA",115,"XNA","ORD",2024-08-01,07:26:00,"US",4088,"00:00:00",2024-08-01 10:31:00,NA,"-00:10:00",2024-08-01 10:21:00,2024-08-01 10:38:00,"-00:11:00",2024-08-01 12:15:00,NA,"-00:13:00",2024-08-01 12:13:00,2024-08-01 12:04:00,"3","L4",0,"None","521.83"
"55","AA",88,"CMH","ORD",2024-08-01,07:29:00,"US",3446,"00:00:00",2024-08-01 11:01:00,NA,"-00:03:00",2024-08-01 10:58:00,2024-08-01 11:17:00,"-00:08:00",2024-08-01 12:21:00,NA,"-00:10:00",2024-08-01 12:19:00,2024-08-01 12:09:00,"3","L3",0,"None","295.02"
"56","AA",85,"CVG","ORD",2024-08-01,07:29:00,"US",4094,"00:23:00",2024-08-01 11:27:00,NA,"00:30:00",2024-08-01 11:34:00,2024-08-01 11:48:00,"00:36:00",2024-08-01 13:05:00,NA,"00:36:00",2024-08-01 13:05:00,2024-08-01 12:36:00,"3","H1A",0,"None","264.32"
"57","AA",131,"OKC","ORD",2024-08-01,07:30:00,"US",3516,"00:55:00",2024-08-01 11:14:00,NA,"01:02:00",2024-08-01 11:21:00,2024-08-01 11:31:00,"01:08:00",2024-08-01 13:38:00,NA,"01:06:00",2024-08-01 13:36:00,2024-08-01 13:22:00,"3","L9",0,"None","692.37"
"58","AA",114,"BNA","ORD",2024-08-01,07:30:00,"US",6244,"00:00:00",2024-08-01 10:36:00,NA,"-00:08:00",2024-08-01 10:28:00,2024-08-01 10:43:00,"-00:20:00",2024-08-01 12:10:00,2024-08-01 11:58:00,"-00:25:00",2024-08-01 12:05:00,2024-08-01 11:58:00,"3","G19",0,"None","409.79"
"59","AA",108,"FSD","ORD",2024-08-01,07:30:00,"US",6050,"00:00:00",2024-08-01 10:42:00,NA,"-00:10:00",2024-08-01 10:32:00,2024-08-01 10:48:00,"-00:21:00",2024-08-01 12:09:00,2024-08-01 12:02:00,"-00:07:00",2024-08-01 12:23:00,2024-08-01 12:04:00,"3","G9",0,"None","461.39"
"60","AA",81,"CWA","ORD",2024-08-01,07:30:00,"US",6177,"00:00:00",2024-08-01 11:09:00,NA,"-00:11:00",2024-08-01 10:58:00,2024-08-01 11:10:00,"-00:27:00",2024-08-01 12:03:00,2024-08-01 12:00:00,"-00:16:00",2024-08-01 12:14:00,2024-08-01 11:58:00,"3","G11",0,"None","213.02"
"61","AA",71,"GRB","ORD",2024-08-01,07:30:00,"US",6053,"00:00:00",2024-08-01 11:19:00,NA,"-00:06:00",2024-08-01 11:13:00,2024-08-01 11:26:00,"-00:13:00",2024-08-01 12:17:00,2024-08-01 12:06:00,"-00:07:00",2024-08-01 12:23:00,2024-08-01 12:03:00,"3","G16",0,"None","173.59"
"62","AA",92,"LEX","ORD",2024-08-01,07:30:00,"US",3444,"00:00:00",2024-08-01 10:58:00,NA,"-00:04:00",2024-08-01 10:54:00,2024-08-01 11:06:00,"-00:16:00",2024-08-01 12:14:00,NA,"-00:20:00",2024-08-01 12:10:00,2024-08-01 12:02:00,"3","G10",0,"None","323.47"
"63","AA",90,"CLE","ORD",2024-08-01,07:30:00,"US",769,"00:00:00",2024-08-01 11:00:00,NA,"-00:07:00",2024-08-01 10:53:00,2024-08-01 11:05:00,"-00:21:00",2024-08-01 12:09:00,NA,"-00:23:00",2024-08-01 12:07:00,2024-08-01 11:56:00,"3","K5",0,"None","314.77"
"64","AA",71,"LAN","ORD",2024-08-01,07:30:00,"US",6158,"00:00:00",2024-08-01 11:19:00,NA,"-00:11:00",2024-08-01 11:08:00,2024-08-01 11:20:00,"-00:27:00",2024-08-01 12:03:00,2024-08-01 11:57:00,"-00:22:00",2024-08-01 12:08:00,2024-08-01 11:58:00,"3","G14A",0,"None","178.1"
"65","AA",160,"LGA","ORD",2024-08-01,07:40:00,"US",462,"02:00:00",2024-08-01 12:00:00,NA,"01:56:00",2024-08-01 11:56:00,2024-08-01 12:14:00,"01:36:00",2024-08-01 14:16:00,NA,"01:30:00",2024-08-01 14:10:00,2024-08-01 14:02:00,"3","H11A",0,"None","731.39"
"66","AA",161,"JAX","ORD",2024-08-01,07:59:00,"US",3481,"00:00:00",2024-08-01 10:18:00,NA,"-00:08:00",2024-08-01 10:10:00,2024-08-01 10:23:00,"-00:16:00",2024-08-01 12:43:00,NA,"-00:20:00",2024-08-01 12:39:00,2024-08-01 12:30:00,"3","L27",0,"None","865.21"
"67","AA",181,"TPA","ORD",2024-08-01,08:31:00,"US",1426,"00:00:00",2024-08-01 10:30:00,NA,"-00:07:00",2024-08-01 10:23:00,2024-08-01 10:35:00,"00:00:00",2024-08-01 13:31:00,NA,"00:02:00",2024-08-01 13:33:00,2024-08-01 13:03:00,"3","L11",0,"None","1013.61"
"68","AA",155,"EWR","ORD",2024-08-01,08:34:00,"US",1627,"00:00:00",2024-08-01 10:59:00,NA,"-00:05:00",2024-08-01 10:54:00,2024-08-01 11:11:00,"-00:30:00",2024-08-01 13:04:00,NA,"-00:37:00",2024-08-01 12:57:00,2024-08-01 12:50:00,"3","H18",0,"None","717.35"
"69","AA",139,"RDU","ORD",2024-08-01,08:40:00,"US",2849,"00:20:00",2024-08-01 11:41:00,NA,"00:02:00",2024-08-01 11:23:00,2024-08-01 11:47:00,"-00:02:00",2024-08-01 13:38:00,NA,"-00:10:00",2024-08-01 13:30:00,2024-08-01 13:21:00,"3","H17",0,"None","645.73"
"70","AA",132,"DCA","ORD",2024-08-01,08:40:00,"US",2304,"00:12:00",2024-08-01 11:40:00,NA,"00:15:00",2024-08-01 11:43:00,2024-08-01 12:04:00,"00:08:00",2024-08-01 13:48:00,NA,"00:06:00",2024-08-01 13:46:00,2024-08-01 13:30:00,"3","K5",0,"None","610.56"
"71","AA",149,"DFW","ORD",2024-08-01,08:45:00,"US",270,"00:00:00",2024-08-01 11:16:00,NA,"-00:05:00",2024-08-01 11:11:00,2024-08-01 11:24:00,"00:08:00",2024-08-01 13:53:00,NA,"00:17:00",2024-08-01 14:02:00,2024-08-01 13:36:00,"3","H16",0,"None","801.97"
"72","AA",176,"BOS","ORD",2024-08-01,08:45:00,"US",2265,"00:00:00",2024-08-01 10:49:00,NA,"-00:09:00",2024-08-01 10:40:00,2024-08-01 11:00:00,"-00:32:00",2024-08-01 13:13:00,NA,"-00:37:00",2024-08-01 13:08:00,2024-08-01 12:59:00,"3","H14",0,"None","864.37"
"73","AA",97,"MCI","ORD",2024-08-01,08:50:00,"US",2827,"06:32:00",2024-08-01 18:45:00,NA,"06:32:00",2024-08-01 18:45:00,2024-08-01 18:59:00,"06:19:00",2024-08-01 20:09:00,NA,"06:24:00",2024-08-01 20:14:00,2024-08-01 19:58:00,"3","H16",0,"None","402.04"
"74","AA",171,"AUS","ORD",2024-08-01,08:51:00,"US",591,"00:00:00",2024-08-01 11:00:00,NA,"00:03:00",2024-08-01 11:03:00,2024-08-01 11:20:00,"00:22:00",2024-08-01 14:13:00,NA,"00:22:00",2024-08-01 14:13:00,2024-08-01 13:57:00,"3","K16",0,"None","978.4"
"75","AA",146,"PHL","ORD",2024-08-01,08:51:00,"US",1926,"00:00:00",2024-08-01 11:25:00,NA,"00:00:00",2024-08-01 11:25:00,2024-08-01 11:39:00,"-00:20:00",2024-08-01 13:31:00,NA,"-00:26:00",2024-08-01 13:25:00,2024-08-01 13:14:00,"3","K13",0,"None","676.25"
"76","AA",143,"ORF","ORD",2024-08-01,08:53:00,"US",3757,"00:00:00",2024-08-01 11:30:00,NA,"-00:05:00",2024-08-01 11:25:00,2024-08-01 11:35:00,"-00:21:00",2024-08-01 13:32:00,NA,"-00:20:00",2024-08-01 13:33:00,2024-08-01 13:16:00,"3","L24",0,"None","715.62"
"77","AA",112,"MHK","ORD",2024-08-01,08:54:00,"US",6023,"00:00:00",2024-08-01 12:02:00,NA,"-00:13:00",2024-08-01 11:49:00,2024-08-01 12:01:00,"-00:14:00",2024-08-01 13:40:00,2024-08-01 13:19:00,"-00:21:00",2024-08-01 13:33:00,2024-08-01 13:24:00,"3","L12",0,"None","499.75"
"78","AA",175,"SAT","ORD",2024-08-01,08:55:00,"US",1442,"00:00:00",2024-08-01 11:00:00,NA,"-00:12:00",2024-08-01 10:48:00,2024-08-01 11:10:00,"00:14:00",2024-08-01 14:09:00,NA,"00:18:00",2024-08-01 14:13:00,2024-08-01 13:53:00,"3","K9",0,"None","1042.31"
"79","AA",164,"MHT","ORD",2024-08-01,08:55:00,"US",4150,"00:00:00",2024-08-01 11:11:00,NA,"-00:08:00",2024-08-01 11:03:00,2024-08-01 11:14:00,"-00:26:00",2024-08-01 13:29:00,NA,"-00:32:00",2024-08-01 13:23:00,2024-08-01 13:13:00,"3","L10B",0,"None","840.78"
"80","AA",151,"BDL","ORD",2024-08-01,08:55:00,"US",2250,"01:06:00",2024-08-01 12:30:00,NA,"01:09:00",2024-08-01 12:33:00,2024-08-01 12:43:00,"00:55:00",2024-08-01 14:50:00,NA,"00:52:00",2024-08-01 14:47:00,2024-08-01 14:37:00,"3","K8",0,"None","781.04"
"81","AA",157,"MSY","ORD",2024-08-01,08:57:00,"US",2994,"00:00:00",2024-08-01 11:20:00,NA,"00:05:00",2024-08-01 11:25:00,2024-08-01 11:39:00,"00:04:00",2024-08-01 14:01:00,NA,"-00:02:00",2024-08-01 13:55:00,2024-08-01 13:45:00,"3","K15",0,"None","838.39"
"82","AA",158,"PVD","ORD",2024-08-01,08:58:00,"US",360,"00:00:00",2024-08-01 11:20:00,NA,"-00:06:00",2024-08-01 11:14:00,2024-08-01 11:24:00,"-00:15:00",2024-08-01 13:43:00,NA,"-00:14:00",2024-08-01 13:44:00,2024-08-01 13:25:00,"3","G6",0,"None","846.98"
"83","AA",119,"LIT","ORD",2024-08-01,08:59:00,"US",3656,"04:45:00",2024-08-01 16:45:00,NA,"04:50:00",2024-08-01 16:50:00,2024-08-01 17:02:00,"04:40:00",2024-08-01 18:39:00,NA,"04:34:00",2024-08-01 18:33:00,2024-08-01 18:24:00,"3","L10A",0,"None","552.66"
"84","AA",158,"ALB","ORD",2024-08-01,09:00:00,"US",5845,"00:00:00",2024-08-01 11:22:00,NA,"-00:07:00",2024-08-01 11:15:00,2024-08-01 11:30:00,"-00:27:00",2024-08-01 13:33:00,2024-08-01 13:16:00,"-00:19:00",2024-08-01 13:41:00,2024-08-01 13:17:00,"3","G11",0,"None","721.11"
"85","AA",151,"HPN","ORD",2024-08-01,09:00:00,"US",3496,"00:00:00",2024-08-01 11:29:00,NA,"-00:12:00",2024-08-01 11:17:00,2024-08-01 11:32:00,"-00:25:00",2024-08-01 13:35:00,NA,"-00:17:00",2024-08-01 13:43:00,2024-08-01 13:19:00,"3","L10A",0,"None","736.26"
"86","AA",186,"MCO","ORD",2024-08-01,09:01:00,"US",557,"00:00:00",2024-08-01 10:55:00,NA,"-00:10:00",2024-08-01 10:45:00,2024-08-01 10:59:00,"-00:22:00",2024-08-01 13:39:00,NA,"-00:22:00",2024-08-01 13:39:00,2024-08-01 13:22:00,"3","G4",0,"None","1006.67"
"87","AA",168,"PWM","ORD",2024-08-01,09:02:00,"US",3602,"00:00:00",2024-08-01 11:14:00,NA,"-00:04:00",2024-08-01 11:10:00,2024-08-01 11:22:00,"-00:18:00",2024-08-01 13:44:00,NA,"-00:06:00",2024-08-01 13:56:00,2024-08-01 13:28:00,"3","L1A",0,"None","897.53"
"88","AA",152,"BTV","ORD",2024-08-01,09:04:00,"US",3846,"00:00:00",2024-08-01 11:32:00,NA,"-00:09:00",2024-08-01 11:23:00,2024-08-01 11:43:00,"-00:17:00",2024-08-01 13:47:00,NA,"-00:11:00",2024-08-01 13:53:00,2024-08-01 13:31:00,"3","L21",0,"None","761.24"
"89","AA",165,"IAH","ORD",2024-08-01,09:05:00,"US",497,"00:00:00",2024-08-01 11:20:00,NA,"-00:08:00",2024-08-01 11:12:00,2024-08-01 11:33:00,"00:11:00",2024-08-01 14:16:00,NA,"00:14:00",2024-08-01 14:19:00,2024-08-01 14:00:00,"3","H12",0,"None","926.25"
"90","AA",203,"MIA","ORD",2024-08-01,09:05:00,"US",1642,"00:00:00",2024-08-01 10:42:00,NA,"-00:02:00",2024-08-01 10:40:00,2024-08-01 11:09:00,"00:00:00",2024-08-01 14:05:00,NA,"-00:02:00",2024-08-01 14:03:00,2024-08-01 13:49:00,"3","K19",0,"None","1199.26"
"91","AA",158,"LGA","ORD",2024-08-01,09:08:00,"US",660,"00:00:00",2024-08-01 11:30:00,NA,"-00:02:00",2024-08-01 11:28:00,2024-08-01 11:52:00,"-00:13:00",2024-08-01 13:55:00,NA,"-00:15:00",2024-08-01 13:53:00,2024-08-01 13:38:00,"3","K3",0,"None","731.39"
"92","AA",121,"TUL","ORD",2024-08-01,09:09:00,"US",3590,"00:00:00",2024-08-01 12:08:00,NA,"-00:04:00",2024-08-01 12:04:00,2024-08-01 12:23:00,"00:11:00",2024-08-01 14:20:00,NA,"00:15:00",2024-08-01 14:24:00,2024-08-01 14:06:00,"3","L22",0,"None","585"
"93","AA",127,"HSV","ORD",2024-08-01,09:10:00,"US",3400,"00:00:00",2024-08-01 12:03:00,NA,"00:04:00",2024-08-01 12:07:00,2024-08-01 12:18:00,"-00:04:00",2024-08-01 14:06:00,NA,"-00:12:00",2024-08-01 13:58:00,2024-08-01 13:50:00,"3","L3",0,"None","510.91"
"94","AA",114,"BNA","ORD",2024-08-01,09:10:00,"US",6240,"00:00:00",2024-08-01 12:16:00,NA,"-00:12:00",2024-08-01 12:04:00,2024-08-01 12:29:00,"-00:16:00",2024-08-01 13:54:00,2024-08-01 13:39:00,"-00:19:00",2024-08-01 13:51:00,2024-08-01 13:37:00,"3","G19",0,"None","409.79"
"95","AA",210,"ORD","ORD",2024-08-01,10:30:00,"US",6025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CLE","629.54"
"96","AA",153,"DEN","ORD",2024-08-01,10:45:00,"US",2771,"00:00:00",2024-08-01 13:12:00,NA,"-00:08:00",2024-08-01 13:04:00,2024-08-01 13:26:00,"-00:20:00",2024-08-01 15:25:00,NA,"-00:23:00",2024-08-01 15:22:00,2024-08-01 15:15:00,"3","H18",0,"None","886.1"
"97","AA",304,"ORD","ORD",2024-08-01,11:04:00,"US",327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"LGA","1462.78"
"98","AA",241,"SEA","ORD",2024-08-01,12:04:00,"US",1071,"00:00:00",2024-08-01 13:03:00,NA,"-00:06:00",2024-08-01 12:57:00,2024-08-01 13:16:00,"-00:12:00",2024-08-01 16:52:00,NA,"-00:05:00",2024-08-01 16:59:00,2024-08-01 16:41:00,"3","H18",0,"None","1716.1"
"99","AA",254,"SFO","ORD",2024-08-01,12:14:00,"US",2614,"00:00:00",2024-08-01 13:00:00,NA,"-00:07:00",2024-08-01 12:53:00,2024-08-01 13:07:00,"-00:18:00",2024-08-01 16:56:00,NA,"-00:16:00",2024-08-01 16:58:00,2024-08-01 16:45:00,"3","K20",0,"None","1842.58"
"100","AA",253,"LAX","ORD",2024-08-01,12:14:00,"US",1021,"00:00:00",2024-08-01 13:01:00,NA,"-00:04:00",2024-08-01 12:57:00,2024-08-01 13:19:00,"-00:12:00",2024-08-01 17:02:00,NA,"-00:08:00",2024-08-01 17:06:00,2024-08-01 16:50:00,"3","K12",0,"None","1741.16"
"101","AA",218,"PHX","ORD",2024-08-01,12:18:00,"US",1408,"00:00:00",2024-08-01 13:40:00,NA,"-00:05:00",2024-08-01 13:35:00,2024-08-01 13:47:00,"-00:26:00",2024-08-01 16:52:00,NA,"-00:29:00",2024-08-01 16:49:00,2024-08-01 16:41:00,"3","K16",0,"None","1437.49"
"102","AA",332,"ORD","ORD",2024-08-01,12:32:00,"US",1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"EWR","1434.7"
"103","AA",258,"SAN","ORD",2024-08-01,12:35:00,"US",489,"00:00:00",2024-08-01 13:17:00,NA,"-00:02:00",2024-08-01 13:15:00,2024-08-01 13:34:00,"-00:19:00",2024-08-01 17:16:00,NA,"-00:25:00",2024-08-01 17:10:00,2024-08-01 17:03:00,"3","H14",0,"None","1719.99"
"104","AA",223,"LAS","ORD",2024-08-01,12:43:00,"US",2447,"00:00:00",2024-08-01 14:00:00,NA,"-00:06:00",2024-08-01 13:54:00,2024-08-01 14:10:00,"-00:15:00",2024-08-01 17:28:00,NA,"-00:10:00",2024-08-01 17:33:00,2024-08-01 17:16:00,"3","H16",0,"None","1511"
"105","AA",395,"ORD","ORD",2024-08-01,13:40:00,"US",2410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"MCO","2013.34"
"106","AA",531,"ORD","ORD",2024-08-01,15:51:00,"US",1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"LAS","3022"
